Unique_ID,task2_pred,task2_maxprob,task2_entropy,task2_p_normal,task2_p_anxiety,task2_p_depression,task2_p_suicidal
0,0,0.9694657927813589,0.15923561617530874,0.9694657927813589,0.02268393569768727,0.0048171524949458195,0.0030331190260078963
1,1,0.9798209424140845,0.11560339654650885,0.013613372470135773,0.9798209424140845,0.004434512371370487,0.0021311727444093325
2,1,0.9935249637328393,0.04567858096657004,0.0025655278923127633,0.9935249637328393,0.002889553960130188,0.001019954414717674
3,1,0.9528137131915565,0.22516905464355508,0.032486243847961074,0.9528137131915565,0.012750437575877455,0.0019496053846050246
4,1,0.9962945476509916,0.027721186804544315,0.0023694801514996386,0.9962945476509916,0.0008803769443385682,0.0004555952531699858
5,1,0.6510645220601082,0.8746347190785425,0.2758073351657972,0.6510645220601082,0.04503417268236933,0.028093970091725175
6,1,0.9290261797418014,0.32268933497738617,0.010805326918557658,0.9290261797418014,0.042683849905573654,0.017484643434067318
7,1,0.7940185792547375,0.6328693029287843,0.1671378227040264,0.7940185792547375,0.026129934329175077,0.012713663712061042
8,1,0.9833155204920444,0.09537821258706108,0.013287418054442196,0.9833155204920444,0.0023380622015166793,0.001058999251996726
9,1,0.834551770191342,0.5817373674372123,0.10845006684185138,0.834551770191342,0.046916247538023426,0.010081915428783127
10,1,0.9777713098010429,0.12496315611842432,0.015428198209450949,0.9777713098010429,0.003083105700632715,0.003717386288873459
11,1,0.9611715997773147,0.2034704129688505,0.00957686987187377,0.9611715997773147,0.020809171954174588,0.008442358396636736
12,1,0.6295163893285485,1.0390555711545635,0.16355622840070574,0.6295163893285485,0.14580076158946942,0.061126620681276424
13,1,0.9825816796999084,0.10448202148864877,0.009098536279864457,0.9825816796999084,0.0062993425321777865,0.0020204414880491974
14,1,0.7859621114451051,0.6579527338068212,0.16561091374345374,0.7859621114451051,0.038731627880610686,0.009695346930830512
15,1,0.8725685012064378,0.4855259255479602,0.08929505191527087,0.8725685012064378,0.01739282043978951,0.020743626438501667
16,1,0.8604109460174024,0.496426520391182,0.1092281170321213,0.8604109460174024,0.02055085070562254,0.009810086244853779
17,1,0.9999370473138685,0.0007385295808346418,2.5977781843986568e-05,0.9999370473138685,1.297406808571303e-05,2.400083620184342e-05
18,1,0.8055307933875074,0.6874607748436599,0.10111744193316763,0.8055307933875074,0.061090653581366824,0.03226111109795815
19,1,0.9881765009204027,0.07393612578268408,0.008253757845902583,0.9881765009204027,0.0018442270477236637,0.001725514185971045
20,1,0.688110957035526,0.8642014905621239,0.2253493451304971,0.688110957035526,0.04824075404287143,0.03829894379110554
21,0,0.4644127779519817,1.2207451297024792,0.4644127779519817,0.2166892359917874,0.2482051227315262,0.07069286332470455
22,1,0.9841218695711598,0.09460159329502527,0.011052100151852914,0.9841218695711598,0.002667576214194003,0.0021584540627933254
23,1,0.6682963502026931,0.7602758226622336,0.30053233604862417,0.6682963502026931,0.016700013806615337,0.014471299942067481
24,1,0.9910307468251477,0.06021807863828438,0.0046463569770769245,0.9910307468251477,0.00281228481626141,0.0015106113815138008
25,1,0.960121308637369,0.18347754965840615,0.03580297295445547,0.960121308637369,0.0023918208980962296,0.0016838975100794812
26,1,0.9876467983586175,0.07948013018793912,0.005598141213488712,0.9876467983586175,0.004317411582523872,0.0024376488453699686
27,1,0.9979267705499884,0.01689444558291026,0.0009828984119526288,0.9979267705499884,0.0008466030568134209,0.0002437279812457744
28,1,0.8682253475652555,0.4961465078285911,0.07906408844171443,0.8682253475652555,0.047172785668721406,0.00553777832430872
29,1,0.5560004573429244,0.8155371161082196,0.4145765345174786,0.5560004573429244,0.01479715542993336,0.014625852709663694
30,1,0.4600422548090945,1.2110170331630303,0.31097865818221315,0.4600422548090945,0.13986100300242998,0.08911808400626245
31,0,0.46562098707962873,1.0186999019373923,0.46562098707962873,0.42942921934884953,0.074503204602058,0.030446588969463825
32,1,0.9982976946140492,0.014039641359630132,0.0009261251832402073,0.9982976946140492,0.0006688239837356586,0.00010735621897511025
33,1,0.828984323786449,0.5997688039026874,0.09236313855801977,0.828984323786449,0.07135983067703407,0.0072927069784971005
34,1,0.8995318640064586,0.3852300335502455,0.08248901474453162,0.8995318640064586,0.011187176191544588,0.006791945057465243
35,1,0.8893358825052157,0.42645962942789795,0.015304712330990154,0.8893358825052157,0.084364696053186,0.010994709110608078
36,0,0.7897014952121549,0.6811531076374269,0.7897014952121549,0.15017104600820252,0.034738267897755526,0.025389190881886986
37,1,0.9957459025555023,0.03206606086006904,0.001729192517314451,0.9957459025555023,0.0014560126167981798,0.0010688923103850116
38,1,0.9930592277233088,0.044487975395813006,0.006125409568192317,0.9930592277233088,0.00037026754284883617,0.0004450951656501453
39,1,0.9736625792676208,0.13602740812497893,0.022220215948219737,0.9736625792676208,0.002233485755889296,0.0018837190282703128
40,1,0.9416975098618429,0.2702637819214623,0.04061747400015942,0.9416975098618429,0.008222542428865219,0.00946247370913244
41,1,0.47203813417737434,1.01630116460642,0.42778472685462676,0.47203813417737434,0.057919684621470055,0.04225745434652863
42,1,0.9189253813200817,0.3606812715533709,0.043844412792716475,0.9189253813200817,0.025276478448943256,0.011953727438258592
43,2,0.6389169403315561,0.8332304131329321,0.023091830790008514,0.3113035009258898,0.6389169403315561,0.026687727952545603
44,1,0.9849241131422167,0.09392527789052227,0.00487608970002011,0.9849241131422167,0.007133401311354011,0.003066395846409196
45,1,0.9755892355543345,0.13988123617792936,0.011505544359122299,0.9755892355543345,0.008536261410820258,0.004368958675722934
46,1,0.686385883573179,0.7363044770209923,0.2851379383523624,0.686385883573179,0.010766510382797143,0.017709667691661574
